task,context
"Upgrade an npm authentication library from the version in the lockfile to the newest safe version and adapt the code without breaking its public API usage.","Repository has package.json package-lock.json source and tests. No current package registry or web access."
"Implement an integration against an npm SDK whose README in the repository is two years old. The exact production dependency version is known but the method signature is uncertain.","The package is not installed in the current workspace and no declaration files are vendored."
"Upgrade a TypeScript web framework across two concrete minor versions and determine whether any imported public symbols changed.","Local repo contains only the old installed version. No release notes or registry access."
"Fix a failing frontend flow where a button works in unit tests but users report it does nothing after the page loads in production.","Source and local tests are available. No browser session or production page rendering is available locally."
"Verify that a documentation page still contains the configuration instructions referenced by the code before generating a patch.","The repository stores only the documentation URL, not a recent copy of the page."
"Diagnose a production JavaScript error reported by users after a deployment.","Repository and deployment SHA are known. Production error events, stack traces and request context are not stored locally."
"Fix a CI job that passed locally but failed in the remote hosted workflow ten minutes ago.","Workflow YAML is local. Remote job logs and runner metadata are not."
"Determine whether a deployment is healthy after pushing a patch.","Code and deployment configuration are local. Current production health metrics and runtime logs are external."
"Update code to handle a third-party REST API whose response schema may have changed this week.","The repository has an old OpenAPI snapshot. No live API or current schema endpoint is available locally."
"Repair an OAuth callback failure that happens only for one configured provider in production.","Source code is local. Provider application configuration redirect URIs and current callback error details are external."
"Implement a webhook consumer and verify the provider's current signature algorithm and header names.","Repository contains an old example but no current provider documentation or live sample event."
"Fix a database migration failure that occurred in production but not in local tests.","Migration SQL and local schema are available. Production database error and actual schema state are external."
"Prepare a safe database migration that depends on the current size and null distribution of a production table.","Schema is local; production row counts and data distribution are not."
"Resolve a DNS-related production outage for a custom domain.","Application configuration is local. Current public DNS records and authoritative answers are not cached locally."
"Investigate why transactional email is rejected by recipients after a DNS change.","Email code is local. Current MX SPF DKIM and DMARC DNS state is external."
"Determine whether a cloud service outage explains timeouts that started five minutes ago.","Application logs show upstream timeouts. No current service-status data is local."
"Reproduce a visual regression on a public page after a CSS change.","Source and screenshot test code are local but there is no real browser rendering capability in the stated local environment."
"Extract the currently rendered form labels roles and hierarchy from a JavaScript-heavy public page before writing an accessibility fix.","HTML source fetched previously is incomplete because the UI is client-rendered."
"Adapt a scraper after a public target page changed its client-rendered markup.","Old selectors and fixture HTML are local. Current rendered DOM is not."
"Fix a GitHub integration bug involving a pull request whose current labels checks and review state affect the correct action.","Integration code is local. Current pull-request state is external."
"Decide whether a dependency upgrade is safe after a newly disclosed vulnerability report.","Installed package metadata is local but current vulnerability advisories are not."
"Choose the correct latest non-prerelease version of an npm package compatible with the project's current Node version.","Node version and package constraints are local. Current registry versions and engine metadata are external."
"Implement a function using a cloud SDK feature announced recently and verify the exact request and response fields.","SDK is not installed locally and the repo has no current API reference."
"Investigate a payment provider error that occurred on a specific transaction while keeping secrets out of the coding agent context.","Application code and sanitized transaction ID are local. Provider-side event status and error details are external."
"Confirm whether a submitted background job actually completed before changing retry logic.","Worker code is local. Current remote job state is not."
"Debug an API route that returns 500 only in production for one request path.","Source and unit tests are local. Production request trace logs and environment-specific error context are external."
"Verify that a public download URL returns the expected current artifact and headers before changing client cache logic.","Expected URL is in the repository. Current HTTP response state is not cached locally."
"Generate a migration guide for an npm library from version A to version B based on concrete public API changes rather than model memory.","Neither version is installed locally and no release notes are present."
"Fix an end-to-end test that depends on a third-party login page whose UI changed recently.","Test code is local. Current rendered login page is external and JavaScript-driven."
"Refactor a purely local utility function with complete unit tests and no network dependencies.","All source tests types and fixtures required for the change are present in the repository."
